player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2023_sean_sullivan_r2p46,Sean Sullivan,R2-R3,2023.0,2.0,LHP,Colorado Rockies,AAA,24.0,3,0.014865598,0.6835264,0.009870102,0.0057148365,1.3928793161727926,True,13.99,12.0,5.0,https://www.ebay.com/itm/397930059357?_skw=%22Sean+Sullivan%22+1st+Bowman+Chrome+auto&hash=item5ca67ad65d:g:IpYAAeSwPN5p~6f-
ifa_828667,Ching-Hsien Ko,IFA,,,OF,,A,20.0,2,0.2650318,0.68173814,0.2886198,0.09831619,3.0928746217655028,True,212.5,193.75,2.0,https://www.ebay.com/itm/227317761524?_skw=%22Ching-Hsien+Ko%22+1st+Bowman+Chrome+auto&hash=item34ed31c5f4:g:IO8AAeSwBXRp7ipA
draft_2024_wyatt_sanford_r2p47,Wyatt Sanford,R2-R3,2024.0,2.0,SS,Pittsburgh Pirates,A+,22.0,2,0.25844166,0.68163854,0.23713401,0.06362573,2.339781462709496,True,187.0,66.2475,14.0,https://www.ebay.com/itm/188390331211?_skw=%22Wyatt+Sanford%22+1st+Bowman+Chrome+auto&hash=item2bdcf0534b:g:o5QAAeSwdJBqCL5-
draft_2025_jackson_steensma_r9p272,Jackson Steensma,R4-R10,2025.0,9.0,RHP,Seattle Mariners,A,22.0,1,0.16835392,0.67994636,0.20538929,0.07055858,2.162371441043386,True,,,,
draft_2022_max_rajcic_r6p187,Max Rajcic,R4-R10,2022.0,6.0,RHP,St. Louis Cardinals,AAA,25.0,4,0.0023995293,0.6757029,0.007252766,0.0022151752,1.7421229035318337,True,,,,
draft_2021_lonnie_white_jr_r2p64,Lonnie White Jr.,R2-R3,2021.0,2.0,OF,Pittsburgh Pirates,AA,24.0,5,0.0045631584,0.6693862,0.0031490854,0.0013091861,1.3878875997274571,True,35.99,19.77,11.0,https://www.ebay.com/itm/116796277143?_skw=%22Lonnie+White%22+1st+Bowman+Chrome+auto&hash=item1b3199c197:g:W68AAeSwnJto1SGP
draft_2024_sean_matson_r9p265,Sean Matson,R4-R10,2024.0,9.0,RHP,Cleveland Guardians,AAA,22.0,2,0.026584463,0.6678324,0.19350159,0.02701849,2.258095964783503,True,,,,
draft_2025_trevor_cohen_r3p85,Trevor Cohen,R2-R3,2025.0,3.0,OF,San Francisco Giants,A+,22.0,1,0.072173536,0.66751146,0.24413615,0.04822131,2.252258342469373,True,18.99,13.4925,20.0,https://www.ebay.com/itm/327114695109?_skw=%22Trevor+Cohen%22+1st+Bowman+Chrome+auto&hash=item4c298e21c5:g:mO4AAeSwXBNp5thT
ifa_692623,Leonard Garcia,IFA,,,P,,AA,23.0,5,0.0053199967,0.6660881,0.1283223,0.010448103,2.1717790616148527,True,,,,
draft_2025_anthony_depino_r7p196,Anthony DePino,R4-R10,2025.0,7.0,3B,Chicago White Sox,AA,22.0,1,0.059584215,0.6660056,0.2372265,0.04246307,2.441469719057288,True,,,,
draft_2025_anthony_eyanson_r3p87,Anthony Eyanson,R2-R3,2025.0,3.0,RHP,Boston Red Sox,AA,22.0,1,0.12812823,0.66441685,0.20416756,0.05438583,2.227796139682715,True,187.0,156.0,2.0,https://www.ebay.com/itm/358540488598?_skw=%22Anthony+Eyanson%22+1st+Bowman+Chrome+auto&hash=item537aadaf96:g:q28AAeSw6YdqAKEX
draft_2023_garret_forrester_r3p73,Garret Forrester,R2-R3,2023.0,3.0,3B,Pittsburgh Pirates,AAA,25.0,3,0.0026804311,0.6627012,0.0031778568,0.001044893,1.594479952143056,True,7.73,5.95,33.0,https://www.ebay.com/itm/116782071168?_skw=%22Garret+Forrester%22+1st+Bowman+Chrome+auto&hash=item1b30c0fd80:g:5gkAAeSwGQJoyP~B
draft_2024_luke_sinnard_r3p99,Luke Sinnard,R2-R3,2024.0,3.0,RHP,Atlanta Braves,A+,22.0,2,0.15341525,0.6622896,0.121567786,0.027985897,1.9461864838760776,True,,,,
draft_2024_dylan_dreiling_r2p65,Dylan Dreiling,R2-R3,2024.0,2.0,OF,Texas Rangers,AA,22.0,2,0.06123359,0.6594237,0.24864104,0.047008827,2.428952773482801,True,24.975,20.0,14.0,https://www.ebay.com/itm/267331620058?_skw=%22Dylan+Dreiling%22+1st+Bowman+Chrome+auto&hash=item3e3e34ccda:g:6igAAeSwvI1oetSx
draft_2024_carson_demartini_r4p130,Carson DeMartini,R4-R10,2024.0,4.0,SS,Philadelphia Phillies,AA,22.0,2,0.052018724,0.6592851,0.23215714,0.045022648,2.362794978922069,True,20.0,15.0,25.0,https://www.ebay.com/itm/306900297065?_skw=%22Carson+DeMartini%22+1st+Bowman+Chrome+auto&hash=item4774aee569:g:iRMAAeSwA7pp63xs
draft_2024_patrick_clohisy_r11p341,Patrick Clohisy,R10+,2024.0,11.0,OF,Arizona Diamondbacks,AA,22.0,2,0.013672677,0.6582309,0.21922702,0.028079968,2.4145762240324395,True,,,,
draft_2024_khal_stephen_r2p59,Khal Stephen,R2-R3,2024.0,2.0,RHP,Toronto Blue Jays,AA,22.0,2,0.022837859,0.65799034,0.22788873,0.02657165,2.418371357730235,True,50.0,50.0,1.0,https://www.ebay.com/itm/287328454788?_skw=%22Khal+Stephen%22+1st+Bowman+Chrome+auto&hash=item42e61c4884:g:Q6cAAeSw7txox2f8
draft_2024_duce_gourson_r9p264,Duce Gourson,R4-R10,2024.0,9.0,SS,Pittsburgh Pirates,AA,22.0,2,0.11742717,0.6576483,0.29426035,0.05327958,2.7748401397363196,True,,,,
draft_2023_matt_wilkinson_r10p308,Matt Wilkinson,R4-R10,2023.0,10.0,P,Cleveland Guardians,AAA,24.0,3,0.008438127,0.656683,0.0074436753,0.0049086004,1.9511280459425715,True,37.495000000000005,25.0,8.0,https://www.ebay.com/itm/168375620224?_skw=%22Matt+Wilkinson%22+1st+Bowman+Chrome+auto&hash=item2733f81280:g:y18AAeSw~WhqBh5Y
draft_2024_sebastian_gongora_r11p339,Sebastian Gongora,R10+,2024.0,11.0,LHP,Baltimore Orioles,AA,22.0,2,0.020585291,0.652557,0.25731,0.05318977,2.525292926956207,True,,,,
draft_2025_ethan_petry_r2p49,Ethan Petry,R2-R3,2025.0,2.0,OF,Washington Nationals,A+,22.0,1,0.08547998,0.6519274,0.22402468,0.058898535,2.3397180535505,True,50.0,48.0,9.0,https://www.ebay.com/itm/227315969330?_skw=%22Ethan+Petry%22+1st+Bowman+Chrome+auto&hash=item34ed166d32:g:Ob4AAeSwkB5p7EWi
ifa_694673,Abimelec Ortiz,IFA,,,1B,,AAA,24.0,5,0.0027131632,0.65055794,0.14637262,0.0100984005,2.6576304205139176,True,24.97,19.99,18.0,https://www.ebay.com/itm/168191063772?_skw=%22Abimelec+Ortiz%22+1st+Bowman+Chrome+auto&hash=item2728f7f6dc:g:50UAAeSwW1BpoS6W
draft_2025_jack_winnay_r13p388,Jack Winnay,R10+,2025.0,13.0,3B,Boston Red Sox,A+,22.0,1,0.18227935,0.64764845,0.29368025,0.07684252,3.092950880366861,True,,,,
draft_2025_devin_taylor_r2p48,Devin Taylor,R2-R3,2025.0,2.0,OF,Sacramento Athletics,A+,22.0,1,0.06504623,0.6464175,0.20777495,0.041807532,2.4144103821521794,True,38.99,29.99,26.0,https://www.ebay.com/itm/137260402472?_skw=%22Devin+Taylor%22+1st+Bowman+Chrome+auto&hash=item1ff55b8728:g:rb8AAeSwzX1piPWt
draft_2025_gabe_davis_r5p137,Gabe Davis,R4-R10,2025.0,5.0,RHP,Chicago White Sox,AA,22.0,1,0.076266944,0.64511585,0.18385902,0.037430365,2.2784492354281722,True,,,,
draft_2023_jared_dickey_r11p319,Jared Dickey,R10+,2023.0,11.0,OF,Kansas City Royals,AAA,24.0,3,0.023775883,0.6447453,0.02849544,0.007990043,1.7997991608056978,True,12.445,9.6225,22.0,https://www.ebay.com/itm/298153672020?_skw=%22Jared+Dickey%22+1st+Bowman+Chrome+auto&hash=item456b57fd54:g:SQIAAeSwzkRpKQFE
draft_2021_creed_willems_r8p227,Creed Willems,R4-R10,2021.0,8.0,C,Baltimore Orioles,AAA,23.0,5,0.0021571766,0.64314926,0.0038584948,0.00089967187,1.8156678384866813,True,50.0,36.0,7.0,https://www.ebay.com/itm/145170184348?_skw=%22Creed+Willems%22+1st+Bowman+Chrome+auto&hash=item21ccd1389c:g:~vQAAOSwqbhkowCO
draft_2024_josh_randall_r3p85,Josh Randall,R2-R3,2024.0,3.0,RHP,Detroit Tigers,AA,22.0,2,0.03037858,0.64009243,0.16890468,0.031139327,2.0560889413833188,True,,,,
draft_2024_ty_southisene_r4p120,Ty Southisene,R4-R10,2024.0,4.0,SS,Chicago Cubs,A+,22.0,2,0.012301992,0.6392018,0.21132682,0.021342259,2.359157103753486,True,15.0,12.0,17.0,https://www.ebay.com/itm/366409761393?_skw=%22Ty+Southisene%22+1st+Bowman+Chrome+auto&hash=item554fb94271:g:nl4AAeSwe69qBoz1
draft_2024_brett_sears_r7p221,Brett Sears,R4-R10,2024.0,7.0,RHP,Atlanta Braves,AAA,22.0,2,0.010264668,0.63913256,0.24647895,0.024823045,2.290165118055987,True,,,,
ifa_702885,Cesar Perdomo,IFA,,,P,,AA,24.0,4,0.00447344,0.6372116,0.14974132,0.021018572,2.0443563819936847,True,,,,
draft_2025_luke_hill_r4p143,Luke Hill,R4-R10,2025.0,4.0,3B,Cleveland Guardians,AA,22.0,1,0.08507484,0.63647515,0.25699255,0.056481447,2.5416410605150674,True,,,,
draft_2022_dylan_orae_r3p102,Dylan O'Rae,R2-R3,2022.0,3.0,SS,Milwaukee Brewers,AA,22.0,4,0.004981991,0.63398105,0.0020344849,0.00067085575,1.7218260661444504,True,26.5,14.99,22.0,https://www.ebay.com/itm/389996921818?_skw=%22Dylan+O%27Rae%22+1st+Bowman+Chrome+auto&hash=item5acda0c3da:g:EYIAAeSwTU5p~1yd
draft_2025_cooper_flemming_r2p53,Cooper Flemming,R2-R3,2025.0,2.0,SS,Tampa Bay Rays,A,22.0,1,0.20639598,0.63337666,0.17832243,0.024496838,2.983635907687865,True,49.99,47.495000000000005,7.0,https://www.ebay.com/itm/358558979675?_skw=%22Cooper+Flemming%22+1st+Bowman+Chrome+auto&hash=item537bc7d65b:g:zlgAAeSwQMdqByOE
draft_2023_owen_wild_r7p213,Owen Wild,R4-R10,2023.0,7.0,P,Tampa Bay Rays,AAA,24.0,3,0.0018444705,0.6328666,0.0036230038,0.0005601982,1.9340138332748364,True,,,,
draft_2025_kane_kepley_r2p56,Kane Kepley,R2-R3,2025.0,2.0,OF,Chicago Cubs,A+,22.0,1,0.06321973,0.6328373,0.24091417,0.047815375,2.364429476705233,True,32.495,26.2475,6.0,https://www.ebay.com/itm/188030983535?_skw=%22Kane+Kepley%22+1st+Bowman+Chrome+auto&hash=item2bc7851d6f:g:O9cAAeSwe6FphZAh
draft_2025_justin_lamkin_r2p71,Justin Lamkin,R2-R3,2025.0,2.0,LHP,Kansas City Royals,AA,22.0,1,0.114097975,0.62809443,0.1399643,0.02512447,1.955045083153653,True,29.99,28.99,11.0,https://www.ebay.com/itm/406918158361?_skw=%22Justin+Lamkin%22+1st+Bowman+Chrome+auto&hash=item5ebe365819:g:j8sAAeSw5D5qASVc
draft_2024_gage_miller_r3p92,Gage Miller,R2-R3,2024.0,3.0,2B,Miami Marlins,AAA,22.0,2,0.07895695,0.62614775,0.20934199,0.048119165,2.2767706511634556,True,7.99,5.0,29.0,https://www.ebay.com/itm/116542419270?_skw=%22Gage+Miller%22+1st+Bowman+Chrome+auto&hash=item1b22783146:g:mJoAAeSw2INn6ssj
draft_2024_cameron_leary_r10p286,Cameron Leary,R4-R10,2024.0,10.0,OF,Oakland Athletics,AA,22.0,2,0.022228854,0.6238163,0.24082856,0.04930991,2.4879493578684544,True,,,,
ifa_699008,Antwone Kelly,IFA,,,P,,AAA,23.0,5,0.0035305845,0.62346756,0.108757116,0.0073339203,2.059098889297865,True,,,,
draft_2023_jack_wenninger_r6p186,Jack Wenninger,R4-R10,2023.0,6.0,P,New York Mets,AAA,24.0,3,0.004759293,0.6232767,0.005076009,0.0023193716,2.1796668658292813,True,105.0,105.0,1.0,https://www.ebay.com/itm/257505351789?_skw=%22Jack+Wenninger%22+1st+Bowman+Chrome+auto&hash=item3bf483d86d:g:66sAAeSwZPJqBU7N
draft_2024_brooks_caple_r9p272,Brooks Caple,R4-R10,2024.0,9.0,RHP,Chicago Cubs,AA,22.0,2,0.028667243,0.6179045,0.17998795,0.038357656,2.519903252015605,True,,,,
draft_2023_nestor_german_r11p331,Nestor German,R10+,2023.0,11.0,P,Baltimore Orioles,AAA,24.0,3,0.0068243686,0.61566144,0.015286948,0.004617777,1.9463990608803077,True,,,,
draft_2024_brendan_jones_r12p361,Brendan Jones,R10+,2024.0,12.0,OF,New York Yankees,AA,22.0,2,0.018444289,0.61522716,0.23033863,0.0519865,2.4677009273373987,True,,,,
ifa_805117,Jean Carlos Sio,IFA,,,IF,,AA,22.0,4,0.035370108,0.61513394,0.12938868,0.021667141,2.73160062774014,True,17.244999999999997,14.9975,12.0,https://www.ebay.com/itm/178137258706?_skw=%22Jean+Carlos+Sio%22+1st+Bowman+Chrome+auto&hash=item2979cedad2:g:GPwAAeSwI3ZqB2om
draft_2023_max_anderson_r2p45,Max Anderson,R2-R3,2023.0,2.0,2B,Detroit Tigers,AAA,24.0,3,0.007104523,0.6150288,0.013824277,0.0036128329,1.623704584663429,True,50.0,49.99,13.0,https://www.ebay.com/itm/205813209080?_skw=%22Max+Anderson%22+1st+Bowman+Chrome+auto&hash=item2feb6c57f8:g:aN8AAeSwxyFo~THy
ifa_806611,Jancel Villarroel,IFA,,,C,,A+,21.0,4,0.06654518,0.6136961,0.13698205,0.034505982,2.820420152322789,True,8.0,6.49,15.0,https://www.ebay.com/itm/277803328355?_skw=%22Jancel+Villarroel%22+1st+Bowman+Chrome+auto&hash=item40ae5e6363:g:f3gAAeSwBf9ptYhY
